Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
579000	Vilnius	Zemieji Paneriai	1	1	1	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	199	3	9	2010
198000	Vilnius	Zemieji Paneriai	1	1	1	3	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	88	9	11	1940
120000	Vilnius	Salininkai	1	1	2	4	Namas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Murinis	98	3	14	2009
600000	Vilnius	Salininkai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	143	6	12	2008
510000	Vilnius	Salininkai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	236	6	12	2005
95000	Vilnius	Salininkai	1	1	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	70	3	14	1989
490000	Vilnius	Antakalnis	2	1	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	180	8	6	2009
299000	Vilnius	Salininkai	1	1	2	5	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	130	5	12	1990
400000	Vilnius	Salininkai	1	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	155	8	12	2004
650000	Vilnius	Traku Voke	2	1	2	4	Namas	4	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	251	17	15	2011
380000	Vilnius	Pagiriai	2	1	1	5	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	190	8	16	2009
399000	Vilnius	Pavilnys	1	1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	150	6	10	2009
849000	Vilnius	Grigiskes	3	2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	200	14	16	1997
265000	Vilnius	Zemieji Paneriai	1	1	1	3	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	165	1	9	2009
530000	Vilnius	Tarande	1	1	2	3	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	170	7,5	13	2006
395000	Vilnius	Balsiai	1	1	2	6	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	151	2	13	2011
300000	Vilnius	Bajorai	2	1	2	5	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	160	8	12	1980
700000	Vilnius	Balsiai	1	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	120	6	13	2009
1050000	Vilnius	Zverynas	4	3	4	4	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	104	3	4	1963
629000	Vilnius	Naujoji Vilnia	2	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	250	13	10	2007
315000	Vilnius	Naujoji Vilnia	2	1	2	5	Namas	3	Reikia	1	1	Dalinai irengtas	Nauja	Murinis	Blokinis	162	6	10	2008
680000	Vilnius	Grigiskes	3	2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	137	5	16	2005
725000	Vilnius	Dvarcionys	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	8	10	2007
899999	Vilnius	Kalnenai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	263	10	6	2011
720000	Vilnius	Kalnenai	2	1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	214	6	6	2010
950000	Vilnius	Pavilnys	1	1	2	2	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	383	12	10	2011
360000	Vilnius	Tarande	1	1	2	4	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	153	3	13	2011
1444000	Vilnius	Antakalnis	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	250	4	4	2009
499000	Vilnius	Pavilnys	1	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	205	6	8	2008
999999	Vilnius	Pavilnys	1	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	240	7	10	2009
600000	Vilnius	Salininkai	1	1	2	5	Kotedşas	3	Reikia	0	3	Irengtas	Nauja	Murinis	Murinis	143	6	12	2008
3900000	Vilnius	Zverynas	4	3	4	7	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	587	9	2	2000
765000	Vilnius	Antakalnis	2	1	2	6	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	216	11	5	2008
