Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
830000	Vilnius	Senamiestis	4	3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	144	2	2	2003
1400000	Vilnius	Senamiestis	4	3	4	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	113	0	2	1940
739000	Vilnius	Senamiestis	4	3	4	4	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	120	1	2	1980
1290000	Vilnius	Verkiai	3	2	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	195	12	7	2006
1580000	Vilnius	Verkiai	3	2	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	277	4	9	2009
279000	Vilnius	Verkiai	3	2	2	3	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	88	4	9	2011
2499999	Vilnius	Verkiai	3	2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	334	10	9	1994
350000	Vilnius	Verkiai	3	2	2	4	Namas	3	Reikia	0	2	Neirengtas	Nauja	Nemurinis	Medinis	125	6	10	2010
830000	Vilnius	Verkiai	3	2	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	222	1	9	2002
230000	Vilnius	Verkiai	3	2	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	67	7	11	1970
360000	Vilnius	Verkiai	3	2	2	5	Namas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Murinis	220	7	10	2009
625000	Vilnius	Verkiai	3	2	2	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	224	13	10	1996
1600000	Vilnius	Verkiai	3	2	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	200	12	10	2008
390000	Vilnius	Verkiai	3	2	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	210	8	11	2008
580000	Vilnius	Verkiai	3	2	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	274	7	11	1996
155000	Vilnius	Verkiai	3	2	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	58	6	11	1986
850000	Vilnius	Verkiai	3	2	2	5	Namas	3	Reikia	0	2	Neirengtas	Nauja	Murinis	Murinis	265	12	11	2009
489000	Vilnius	Verkiai	3	2	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	194	6	12	2006
850000	Vilnius	Verkiai	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	222	20	13	2009
750000	Vilnius	Verkiai	3	2	2	4	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	176	9	13	2008
750000	Vilnius	Verkiai	3	2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	231	6	13	2009
265000	Vilnius	Valakampiai	4	3	4	5	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	125	6	7	1982
930000	Vilnius	Valakampiai	4	3	4	5	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	210	4	8	2011
2100000	Vilnius	Valakampiai	4	3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	247	3	8	2005
6999999	Vilnius	Valakampiai	4	3	4	7	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	388	30	7	2005
900000	Vilnius	Valakampiai	4	3	4	5	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	230	14	8	2008
4999999	Vilnius	Valakampiai	4	3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	370	3	8	2007
5499999	Vilnius	Valakampiai	4	3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	400	16	7	2007
795000	Vilnius	Valakampiai	4	3	4	4	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	185	3	9	2011
1490000	Vilnius	Valakampiai	4	3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	272	10	9	2010
2400000	Vilnius	Valakampiai	4	3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	301	18	9	2000
2699999	Vilnius	Valakampiai	4	3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nenauja	Murinis	Murinis	720	12	10	1996
915000	Vilnius	Valakampiai	4	3	4	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	215	3	10	2008
3400000	Vilnius	Valakampiai	4	3	4	6	Namas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	284	18	9	2010
1400000	Vilnius	Valakampiai	4	3	4	6	Namas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	255	12	13	2008
865000	Vilnius	Valakampiai	4	3	4	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	229	10	12	2008
2100000	Vilnius	Valakampiai	4	3	4	6	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	250	12	12	2006
1325000	Vilnius	Valakampiai	4	3	4	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	242	9	11	1996
869000	Vilnius	Valakampiai	4	3	4	7	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	166	5	11	1936
1049000	Vilnius	Balsiai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	301	15	14	2002
580000	Vilnius	Balsiai	1	1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	182	6	14	2005
720000	Vilnius	Balsiai	1	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	165	12	14	2006
670000	Vilnius	Balsiai	1	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	166	6	14	2006
450000	Vilnius	Balsiai	1	1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	175	6	15	2008
370000	Vilnius	Balsiai	1	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	130	3	15	2008
950000	Vilnius	Baltupiai	3	2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	209	7	4	2002
850000	Vilnius	Baltupiai	3	2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	215	3	4	1992
589000	Vilnius	Baltupiai	3	2	2	6	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	176	8	8	2006
138000	Vilnius	Baltupiai	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	219	7	5	2011
930000	Vilnius	Baltupiai	3	2	2	6	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	223	5	5	1992
810000	Vilnius	Baltupiai	3	2	2	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	302	1	4	1993
850000	Vilnius	Baltupiai	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	159	5	4	2011
917000	Vilnius	Baltupiai	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	210	6	6	2011
1088000	Vilnius	Baltupiai	3	2	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	300	6	8	2006
169990	Vilnius	Baltupiai	3	2	2	8	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	430	12	7	1996
930000	Vilnius	Baltupiai	3	2	2	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	223	5	6	1992
930000	Vilnius	Baltupiai	3	2	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	300	3	6	2000
950000	Vilnius	Baltupiai	3	2	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	312	6	5	1997
449000	Vilnius	Baltupiai	3	2	2	5	Namas	1	Reikia	0	3	Irengtas	Nenauja	Murinis	Murinis	220	7	6	1962
1500000	Vilnius	Baltupiai	3	2	2	5	Namas	4	Nereikia	1	4	Irengtas	Nauja	Murinis	Murinis	400	7	7	2000
350000	Vilnius	Baltupiai	3	2	2	3	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	107	1	5	2007
649000	Vilnius	Pilaite	2	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	160	15	8	2011
1390000	Vilnius	Pilaite	2	1	2	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	290	7	8	2007
395000	Vilnius	Pilaite	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	160	7	8	2011
470000	Vilnius	Pilaite	2	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	6	8	2011
599000	Vilnius	Pilaite	2	1	2	4	Kotedzas	2	Nereikia	0	4	Irengtas	Nenauja	Murinis	Murinis	224	7	8	1994
595000	Vilnius	Pilaite	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	170	9	8	2011
850000	Vilnius	Pilaite	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	182	12	8	2007
720000	Vilnius	Pilaite	2	1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	7	8	2008
510000	Vilnius	Pilaite	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	190	5	8	2009
449000	Vilnius	Pilaite	2	1	2	4	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	142	3	8	1997
890000	Vilnius	Pilaite	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	160	10	8	2007
730000	Vilnius	Pilaite	2	1	2	6	Kotedzas	4	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	338	8	8	1998
600000	Vilnius	Pilaite	2	1	2	4	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	133	2	8	1995
790000	Vilnius	Kalnenai	2	1	2	5	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	200	11	6	2009
850000	Vilnius	Kalnenai	2	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	220	9	7	2010
360000	Vilnius	Kalnenai	2	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	117	3	6	2011
497000	Vilnius	Kalnenai	2	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	124	7	6	2008
1250000	Vilnius	Kalnenai	2	1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	325	11	6	2007
630000	Vilnius	Kalnenai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	225	12	6	2008
1200000	Vilnius	Kalnenai	2	1	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	135	6	5	2009
595000	Vilnius	Kalnenai	2	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	254	3	6	2010
548000	Vilnius	Kalnenai	2	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	165	4	6	2010
830000	Vilnius	Kalnenai	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	225	13	6	2008
197000	Vilnius	Zemieji Paneriai	1	1	1	3	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	88	9	11	1940
429000	Vilnius	Zemieji Paneriai	1	1	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	168	8	12	2011
379000	Vilnius	Zemieji Paneriai	1	1	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	168	8	7	2010
566999	Vilnius	Pavilnys	1	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	189	3	9	2009
650000	Vilnius	Pavilnys	1	1	2	3	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	116	7	7	2008
385000	Vilnius	Pavilnys	1	1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	170	6	8	2010
545000	Vilnius	Pavilnys	1	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	140	4	7	2010
779000	Vilnius	Pavilnys	1	1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	296	13	8	2011
210000	Vilnius	Pavilnys	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	179	5	9	2008
390000	Vilnius	Pavilnys	1	1	2	3	Kotedzas	4	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	70	9	7	1940
470000	Vilnius	Pavilnys	1	1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	106	6	7	2008
555000	Vilnius	Pavilnys	1	1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	186	6	8	2007
520000	Vilnius	Pavilnys	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	205	7	7	2011
520000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	180	10	13	2011
900000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	230	11	7	2008
700000	Vilnius	Tarande	1	1	2	6	Namas	4	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	220	9	7	2008
320000	Vilnius	Grigiskes	3	2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	146	4	16	2011
169000	Vilnius	Grigiskes	3	2	2	4	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	100	7	16	1991
410000	Vilnius	Grigiskes	3	2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	206	8	16	2011
600000	Vilnius	Grigiskes	3	2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	200	6	16	2010
359000	Vilnius	Grigiskes	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	294	9	16	2009
480000	Vilnius	Grigiskes	3	2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	203	8	16	2006
760000	Vilnius	Grigiskes	3	2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	152	14	16	1980
230000	Vilnius	Grigiskes	3	2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	210	7	17	2010
299000	Vilnius	Grigiskes	3	2	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	105	6	17	2005
1499000	Vilnius	Grigiskes	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	253	12	15	2008
350000	Vilnius	Grigiskes	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	300	20	16	2006
499999	Vilnius	Naujoji Vilnia	2	1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	164	6	10	2007
690000	Vilnius	Naujoji Vilnia	2	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	253	8	10	2007
339000	Vilnius	Naujoji Vilnia	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	179	9	12	2009
109000	Vilnius	Naujoji Vilnia	2	1	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	77	6	11	1996
340000	Vilnius	Naujoji Vilnia	2	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	160	4	11	2011
255000	Vilnius	Naujoji Vilnia	2	1	2	3	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	121	6	11	1999
215000	Vilnius	Naujoji Vilnia	2	1	2	3	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	81	8	11	1940
535000	Vilnius	Naujoji Vilnia	2	1	2	4	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	167	7	10	2011
285000	Vilnius	Naujoji Vilnia	2	1	2	3	Namas	3	Reikia	1	2	Dalinai irengtas	Nauja	Murinis	Murinis	120	6	10	2011
150000	Vilnius	Naujoji Vilnia	2	1	2	4	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	107	7	10	1980
540000	Vilnius	Naujoji Vilnia	2	1	2	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	119	7	10	1940
449000	Vilnius	Naujoji Vilnia	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	190	6	12	2008
589000	Vilnius	Naujoji Vilnia	2	1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	184	7	12	2008
709000	Vilnius	Naujoji Vilnia	2	1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	420	6	10	1996
550000	Vilnius	Naujoji Vilnia	2	1	2	8	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	309	2	10	1993
450000	Vilnius	Naujoji Vilnia	2	1	2	5	Namas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Murinis	173	6	10	2007
680000	Vilnius	Naujoji Vilnia	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	250	13	10	2006
490000	Vilnius	Pagiriai	2	1	1	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Nemurinis	Medinis	243	16	16	2009
390000	Vilnius	Pagiriai	2	1	1	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	311	10	16	1994
210000	Vilnius	Pagiriai	2	1	1	3	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	74	7	16	2011
225000	Vilnius	Pagiriai	2	1	1	7	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	183	7	16	2010
370000	Vilnius	Pagiriai	2	1	1	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	247	12	16	2008
249000	Vilnius	Pagiriai	2	1	1	2	Namas	3	Reikia	1	2	Dalinai irengtas	Nauja	Nemurinis	Medinis	80	6	16	2010
420000	Vilnius	Pagiriai	2	1	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	227	16	16	2011
122000	Vilnius	Pagiriai	2	1	1	2	Namas	3	Reikia	1	2	Dalinai irengtas	Nauja	Murinis	Murinis	48	7	16	2011
630000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	189	8	10	2008
620000	Vilnius	Tarande	1	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	265	7	10	2007
730000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	189	7	10	2011
720000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	237	13	10	2011
1090000	Vilnius	Tarande	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	18	12	2008
745000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	8	11	2008
1090000	Vilnius	Tarande	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	264	15	12	2004
1150000	Vilnius	Tarande	1	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	245	9	12	2008
1100000	Vilnius	Tarande	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	210	18	12	2008
870000	Vilnius	Tarande	1	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	188	7	11	2007
900000	Vilnius	Tarande	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	208	7	11	2001
475000	Vilnius	Tarande	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	300	8	11	2009
1100000	Vilnius	Tarande	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	273	15	11	2000
649000	Vilnius	Antakalnis	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	189	6	7	2011
270000	Vilnius	Antakalnis	2	1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	90	2	8	2010
800000	Vilnius	Antakalnis	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	198	3	8	2008
947000	Vilnius	Antakalnis	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	220	7	8	2006
850000	Vilnius	Antakalnis	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	243	6	8	2008
500000	Vilnius	Salininkai	1	1	2	5	Kotedzas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Blokinis	233	6	13	2008
260000	Vilnius	Salininkai	1	1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	92	11	13	2004
289000	Vilnius	Salininkai	1	1	2	5	Namas	3	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	130	6	13	1992
575000	Vilnius	Salininkai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	134	10	13	2007
548000	Vilnius	Salininkai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	161	9	13	2003
320000	Vilnius	Salininkai	1	1	2	4	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	140	10	13	1980
870000	Vilnius	Salininkai	1	1	2	6	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	213	9	13	2005
575000	Vilnius	Salininkai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	220	9	13	2008
625000	Vilnius	Salininkai	1	1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	158	40	13	2007
500000	Vilnius	Salininkai	1	1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	107	6	13	2008
1500000	Vilnius	Uzupis	4	3	4	3	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	126	11	3	2009
1000000	Vilnius	Uzupis	4	3	4	4	Kotedzas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	210	4	3	2006
1999000	Vilnius	Uzupis	4	3	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	244	4	3	2002
1000000	Vilnius	Uzupis	4	3	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	200	4	3	2007
585000	Vilnius	Vilkpede	2	1	2	5	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	194	3	5	2009
830000	Vilnius	Santariskes	3	2	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	222	1	8	2002
699000	Vilnius	Santariskes	3	2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	170	8	8	2004
950000	Vilnius	Santariskes	3	2	3	8	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	453	5	8	1994
1100000	Vilnius	Santariskes	3	2	3	6	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	210	5	8	2008
720000	Vilnius	Santariskes	3	2	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	166	2	8	2002
1300000	Vilnius	Santariskes	3	2	3	8	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	250	7	8	2005
1400000	Vilnius	Santariskes	3	2	3	6	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	260	12	8	2007
650000	Vilnius	Santariskes	3	2	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	130	4	8	2009
799000	Vilnius	Santariskes	3	2	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	5	8	2011
699000	Vilnius	Santariskes	3	2	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	206	3	8	2003
749000	Vilnius	Santariskes	3	2	3	6	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	220	2	8	1996
655000	Vilnius	Santariskes	3	2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	172	6	8	2004
1200000	Vilnius	Santariskes	3	2	3	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	180	6	8	1996
495000	Vilnius	Snipiskes	3	2	3	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	112	3	3	1940
650000	Vilnius	Snipiskes	3	2	3	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	176	2	3	1940
1250000	Vilnius	Snipiskes	3	2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	224	7	3	2008
590000	Vilnius	Visoriai	2	1	3	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	204	2	10	2011
699000	Vilnius	Visoriai	2	1	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	170	8	10	2004
600000	Vilnius	Visoriai	2	1	3	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	170	6	10	2007
1180000	Vilnius	Visoriai	2	1	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	298	11	10	2003
360000	Vilnius	Visoriai	2	1	3	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	226	6	10	2008
625000	Vilnius	Visoriai	2	1	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	149	2	10	2004
545000	Vilnius	Visoriai	2	1	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	150	5	10	2010
1600000	Vilnius	Visoriai	2	1	3	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	190	7	10	2008
590000	Vilnius	Visoriai	2	1	3	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	203	1	10	2011
