Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ir	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai	Nuoroda	Skelbimas
420000	Vilnius	Pavilnys	1	1		5	Namas	3	Reikia	0	2	Árengtas	Nauja	Nemurinis	Medinis	180	14	10	2004	http://www.skelbiu.lt/skelbimai/adresas-vilnius-adresas-vilnius-sebastijoniskiu-g-12357138.html	file:///C:/Users/Dovile/Desktop/Namai/12.html
450000	Vilnius	Pavilnys	1	1		5	Namas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	250	68	12	1995	http://www.skelbiu.lt/skelbimai/parduodamas-250-kv-m-murinis-parduodamas-250-kv-m-12329675.html	file:///C:/Users/Dovile/Desktop/Namai/14.html
660000	Vilnius	Grigiskes	3	2		5	Namas	3	Reikia	0	2	Dalinai árengtas	Nauja	Murinis	Blokinis	176	8	16	2011	http://www.skelbiu.lt/skelbimai/parduodamas-naujos-parduodamas-naujos-statybos-12342503.html	file:///C:/Users/Dovile/Desktop/Namai/15.html
2000000	Vilnius	Zverynas	4	3		6	Kotedzas	3	Reikia	0	2	Dalinai árengtas	Nauja	Murinis	Blokinis	233	3	3	2008	http://www.skelbiu.lt/skelbimai/kotedzas-ziemgaliu-bebru-g-kotedzas-ziemgaliu-12291931.html	file:///C:/Users/Dovile/Desktop/Namai/16.html
620000	Vilnius	Bajorai	2	1		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	185	6	11	2007	http://www.skelbiu.lt/skelbimai/parduodamas-puikus-namas-vilniaus-parduodamas-12242819.html	file:///C:/Users/Dovile/Desktop/Namai/18.html
1290000	Vilnius	Verkiai	3	2		5	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Murinis	195	12	7	2006	http://www.skelbiu.lt/skelbimai/parduodamas-puikus-1-9-5-kv-m-parduodamas-puikus-12349706.html	file:///C:/Users/Dovile/Desktop/Namai/20.html
1999999	Vilnius	Zverynas	4	3		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	280	8	3	2004	http://www.skelbiu.lt/skelbimai/apie-nama-parduodamas-2-8-0-kv-m-apie-nama-12349713.html	file:///C:/Users/Dovile/Desktop/Namai/21.html
837000	Vilnius	Bajorai	2	1		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	240	6	11	2009	http://www.skelbiu.lt/skelbimai/apie-nama-parduodamas-puikus-5-apie-nama-12349724.html	file:///C:/Users/Dovile/Desktop/Namai/22.html
450000	Vilnius	Antakalnis	2	1		6	Namas	1	Reikia	0	2	Árengtas	Nenauja	Murinis	Blokinis	225	4	4	1994	http://www.skelbiu.lt/skelbimai/bendri-duomenys-s-batoro-g-bendri-duomenys-s-12263449.html	file:///C:/Users/Dovile/Desktop/Namai/23.html
3459000	Vilnius	Senamiestis	4	3		10	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	411	3	3	2007	http://www.skelbiu.lt/skelbimai/isskirtinis-namas-senamiestyje-isskirtinis-namas-12261112.html	file:///C:/Users/Dovile/Desktop/Namai/24.html
750000	Vilnius	Baltupiai	3	2		4	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	166	2	7	2007	http://www.skelbiu.lt/skelbimai/erdvus-kotedzas-baltupiuose-erdvus-kotedzas-12260889.html	file:///C:/Users/Dovile/Desktop/Namai/25.html
