Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ir	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai	Nuoroda	Skelbimas
930000	Vilnius	Antakalnis	2	1		5	Kotedzas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	210	4	5	2011	http://www.aruodas.lt/namas/vilniuje/ramioje-vietoje-aptvertoje-teritorijoje-salia-pusy/2-245612	file:///C:/Users/Dovile/Desktop/Namai/97.htm
340000	Vilnius	Antakalnis	2	1		3	Namas	3	Reikia	1	1	Dalinai árengtas	Nauja	Murinis	Murinis	125	6	7	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-naujai-pastatytas-namas-dvarcionyse-a/2-244060	file:///C:/Users/Dovile/Desktop/Namai/98.htm
160000	Vilnius	Balsiai	1	1		3	Namas	1	Reikia	1	2	Árengtas	Nenauja	Murinis	Murinis	56	6	14	1986	http://www.aruodas.lt/namas/vilniuje/sn-balsiu-sodu-7ojoje-g-vilniaus-m-sb-zaliej/2-246655	file:///C:/Users/Dovile/Desktop/Namai/99.htm
315000	Vilnius	Pavilnys	1	1		4	Kotedzas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	88	15	7	2010	http://www.aruodas.lt/namas/vilniuje/parduodamas-kotedzas-pavilnyje-dziaugsmo-gatveje/2-245873	file:///C:/Users/Dovile/Desktop/Namai/100.htm
1500000	Vilnius	Zverynas	4	3		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	209	3	2	2001	http://www.aruodas.lt/namas/vilniuje/parduodamas-5-kambariu-2943-kvmsublokuotas-mu/2-245495	file:///C:/Users/Dovile/Desktop/Namai/101.htm
430000	Vilnius	Salininkai	1	1		4	Namas	3	Reikia	1	3	Árengtas	Nauja	Murinis	Murinis	150	12	13	2009	http://www.aruodas.lt/namas/vilniuje/pasiulymas-ieskantiems-ekonomisko-namo-pigus-sild/2-244016	file:///C:/Users/Dovile/Desktop/Namai/102.htm
299000	Vilnius	Aukstieji Paneriai	1	1		4	Namas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	128	6	14	2011	http://www.aruodas.lt/namas/vilniuje/wwwkalvuslenislt-1281-m2-namas-su-pilna-daline/2-243094	file:///C:/Users/Dovile/Desktop/Namai/103.htm
1650000	Vilnius	Zujunai	3	2		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	270	10	11	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-prabangiai-irengtas-namas-zujunuose-s/2-246108	file:///C:/Users/Dovile/Desktop/Namai/105.htm
399000	Vilnius	Tarande	1	1		4	Namas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Blokinis	120	3	10	2011	http://www.aruodas.lt/namas/vilniuje/parduodami-211m-pastatyti-12-kvm-blokuoti-nam/2-245555	file:///C:/Users/Dovile/Desktop/Namai/106.htm
2070000	Vilnius	Uzupis	4	3		6	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	295	5	2	2004	http://www.aruodas.lt/namas/vilniuje/uzupyje-polocko-gatveje-parduodamas-patogus-ir-er/2-244929	file:///C:/Users/Dovile/Desktop/Namai/107.htm
480000	Vilnius	Pilaite	2	1		8	Namas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Murinis	319	6	8	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-namas-pilaiteje-pilaite/2-244389	file:///C:/Users/Dovile/Desktop/Namai/108.htm
850000	Vilnius	Bajorai	2	1		5	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	217	6	12	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-217-m-sublokuotas-namas-bajorose-vai/2-242659	file:///C:/Users/Dovile/Desktop/Namai/109.htm
370000	Vilnius	Santariskes	3	2		5	Namas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Murinis	180	5	8	2010	http://www.aruodas.lt/namas/vilniuje/2-211087	file:///C:/Users/Dovile/Desktop/Namai/110.htm
1200000	Vilnius	Antakalnis	2	1		5	Namas	3	Reikia	0	2	Árengtas	Nauja	Murinis	Murinis	280	12	11	2005	http://www.skelbiu.lt/skelbimai/parduodamas-labai-kokybiskai-parduodamas-labai-12514021.html	file:///C:/Users/Dovile/Desktop/Namai/111.html
750000	Vilnius	Zujunai	3	2		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	160	8	11	2008	http://www.skelbiu.lt/skelbimai/parduodamas-labai-kokybiskai-parduodamas-labai-12545033.html	file:///C:/Users/Dovile/Desktop/Namai/112.html
220000	Vilnius	Antakalnis	2	1		5	Namas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Blokinis	140	3	7	2010	http://www.skelbiu.lt/skelbimai/parduodamas-naujai-pastatytas-parduodamas-naujai-12541070.html	file:///C:/Users/Dovile/Desktop/Namai/113.html
639000	Vilnius	Santariskes	3	2		5	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Murinis	162	6	8	2001	http://www.skelbiu.lt/skelbimai/parduodamas-5-kambariu-puikaus-parduodamas-5-12530244.html	file:///C:/Users/Dovile/Desktop/Namai/114.html
199000	Vilnius	Pavilnys	1	1		4	Namas	3	Reikia			Neárengtas	Nauja	Murinis	Murinis	199	12	7	2009	http://www.skelbiu.lt/skelbimai/parduodamas-naujas-4-kambariu-namas-naujas-4-k-12493033.html	file:///C:/Users/Dovile/Desktop/Namai/115.html
980000	Vilnius	Grigiskes	3	2		6	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	241	21	16	2010	http://www.skelbiu.lt/skelbimai/parduodamas-namas-salia-didziulio-ezero-12525801.html	file:///C:/Users/Dovile/Desktop/Namai/116.html
750000	Vilnius	Santariskes	3	2		6	Kotedzas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	333	2	8	1996	http://www.skelbiu.lt/skelbimai/parduodamas-erdvus-ir-jaukus-parduodamas-erdvus-12528997.html	file:///C:/Users/Dovile/Desktop/Namai/118.html
300000	Vilnius	Traku Voke	2	1		6	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	286	10	15	2009	http://www.skelbiu.lt/skelbimai/parduodamas-erdvus-6-k-namas-parduodamas-erdvus-6-12487912.html	file:///C:/Users/Dovile/Desktop/Namai/117.html
998000	Vilnius	Traku Voke	2	1		5	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	270	20	15	2007	http://www.skelbiu.lt/skelbimai/parduodamas-irengtas-vieno-auksto-parduodamas-12547799.html	file:///C:/Users/Dovile/Desktop/Namai/119.html
599999	Vilnius	Visoriai	2	1		4	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Blokinis	177	6	10	2008	http://www.skelbiu.lt/skelbimai/parduodamas-vilniaus-mieste-parduodamas-vilniaus-12547736.html	file:///C:/Users/Dovile/Desktop/Namai/120.html
299000	Vilnius	Traku Voke	2	1		4	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	230	15	15	2010	http://www.skelbiu.lt/skelbimai/parduodamas-230-m-individualus-parduodamas-230-m-12547781.html	file:///C:/Users/Dovile/Desktop/Namai/121.html
619000	Vilnius	Antakalnis	2	1		5	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Blokinis	188	6	7	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-gyvenamasis-namas-su-rus/2-247334	file:///C:/Users/Dovile/Desktop/Namai/122.htm
429000	Vilnius	Aukstieji Paneriai	1	1		4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	168	8	14	2011	http://www.aruodas.lt/namas/vilniuje/wwwkalvuslenislt-16756-m2-namas-su-pilna-dalin/2-247257	file:///C:/Users/Dovile/Desktop/Namai/123.htm
1580000	Vilnius	Santariskes	3	2		5	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	277	4	8	2009	http://www.aruodas.lt/namas/vilniuje/sn-parduodamas-labai-gerai-irengtas-5-k-277-kvm/2-246114	file:///C:/Users/Dovile/Desktop/Namai/124.htm
263000	Vilnius	Zemieji Paneriai	1	1		4	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	170	6	9	2010	http://www.aruodas.lt/namas/vilniuje/parduodamas-naujos-statybos-kotedzas-pilnai-ireng/2-237537	file:///C:/Users/Dovile/Desktop/Namai/126.htm
595000	Vilnius	Bajorai	2	1		5	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	200	7	12	2011	http://www.aruodas.lt/namas/vilniuje/paduodamas-sublokuotas-namas-bajoruose-naujai-vys/2-245797	file:///C:/Users/Dovile/Desktop/Namai/128.htm
550000	Vilnius	Tarande	1	1		4	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Blokinis	270	8	10	2007	http://www.aruodas.lt/namas/vilniuje/naujos-statybos-dvibutis-namas-tarandeje-vienoje/2-245716	file:///C:/Users/Dovile/Desktop/Namai/129.htm
265000	Vilnius	Valakampiai	4	3		5	Namas	2	Nereikia	1	3	Árengtas	Nenauja	Murinis	Murinis	125	6	7	1982	http://www.aruodas.lt/namas/vilniuje/parduodamas-sodo-namas-su-garazu-puikioje-vietoje/2-244749	file:///C:/Users/Dovile/Desktop/Namai/130.htm
599999	Vilnius	Baltupiai	3	2		4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	177	6	7	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-vilniaus-mieste-jaruzaleje-irengtas/2-247565	file:///C:/Users/Dovile/Desktop/Namai/131.htm
830000	Vilnius	Baltupiai	3	2		5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	204	3	6	1992	http://www.aruodas.lt/namas/vilniuje/baltupiuose-kalvariju-g-parduodamas-kokybiskai-p/2-246994	file:///C:/Users/Dovile/Desktop/Namai/132.htm
1200000	Vilnius	Baltupiai	3	2		4	Kotedzas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	20	4	6	2000	http://www.aruodas.lt/namas/vilniuje/gerai-irengtas-2-kvm-kotedzas-baltupiu-mikror/2-245900	file:///C:/Users/Dovile/Desktop/Namai/133.htm
590000	Vilnius	Dvarcionys	2	1		5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	250	11	10	1997	http://www.aruodas.lt/namas/vilniuje/parduodamas-irengtas-namas-dvarcionyse-keramiku-g/2-241112	file:///C:/Users/Dovile/Desktop/Namai/134.htm
480000	Vilnius	Dvarcionys	2	1		5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	205	9	10	1992	http://www.aruodas.lt/namas/vilniuje/zemes-sklypas-yra-namu-valdos-paskirties-6-a-na/2-234388	file:///C:/Users/Dovile/Desktop/Namai/135.htm
109000	Vilnius	Snipiskes	3	2		3	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	54	2	3	1940	http://www.aruodas.lt/namas/vilniuje/parduodu-dali-namo-kalvariju-gveje-su-146a-zemes/2-234703	file:///C:/Users/Dovile/Desktop/Namai/136.htm
450000	Vilnius	Snipiskes	3	2		2	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	29	2	3	1940	http://www.aruodas.lt/namas/vilniuje/namas-randasi-salia-vilniaus-miesto-savivaldybes-p/2-232589	file:///C:/Users/Dovile/Desktop/Namai/137.htm
830000	Vilnius	Senamiestis	4	3		5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	144	2	2	2003	http://www.aruodas.lt/namas/vilniuje/parduodama-namo-dalis-senamiestyje-teatro-g-n/2-246771	file:///C:/Users/Dovile/Desktop/Namai/138.htm
140000	Vilnius	Senamiestis	4	3		5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	113	4	2	1940	http://www.aruodas.lt/namas/vilniuje/apie-nama-parduodama-namo-dalis-gedimino-prospekt/2-241940	file:///C:/Users/Dovile/Desktop/Namai/139.htm
3459000	Vilnius	Senamiestis	4	3		10	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	411	3	2	2007	http://www.aruodas.lt/namas/vilniuje/bendri-duomenys-kvanagelio-g-senamiestis-viln/2-244256	file:///C:/Users/Dovile/Desktop/Namai/140.htm
269000	Vilnius	Verkiai	3	2		3	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	88	2	9	2011	http://www.aruodas.lt/namas/vilniuje/parduodu-kotedza-vilniuje-bendras-namo-plotas-/2-246172	file:///C:/Users/Dovile/Desktop/Namai/141.htm
1580000	Vilnius	Verkiai	3	2		5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	277	4	9	2009	http://www.aruodas.lt/namas/vilniuje/sn-parduodamas-labai-gerai-irengtas-5-k-277-kvm/2-246120	file:///C:/Users/Dovile/Desktop/Namai/142.htm
815000	Vilnius	Vilkpede	2	1		8	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	260	6	5	2000	http://www.aruodas.lt/namas/vilniuje/namas-idealiai-tinkantis-gyventi-dviems-seimoms/2-219354	file:///C:/Users/Dovile/Desktop/Namai/143.htm
250000	Vilnius	Zirmunai	1	1		1	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	30	2	5	1933	http://www.aruodas.lt/namas/vilniuje/parduodama-namo-dalis-raitininku-g-zirmunuose/2-233611	file:///C:/Users/Dovile/Desktop/Namai/144.htm
545000	Vilnius	Pagiriai	2	1		5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	300	30	18	1995	http://www.aruodas.lt/namas/vilniuje/tinka-gyventi-is-karto-pastatas-geltonu-p/2-245878	file:///C:/Users/Dovile/Desktop/Namai/145.htm
699000	Vilnius	Pagiriai	2	1		6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	15	18	2010	http://www.aruodas.lt/namas/vilniuje/pagrindiniai-privalumai-namas-puikiai-tinka-5/2-244844	file:///C:/Users/Dovile/Desktop/Namai/146.htm
490000	Vilnius	Kalnenai	2	1		5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	143	4	6	2010	http://www.aruodas.lt/namas/vilniuje/patrauklus-pasiulymas-uz-superine-kaina-kalne/2-244602	file:///C:/Users/Dovile/Desktop/Namai/147.htm
1250000	Vilnius	Snipiskes	3	2		5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	294	7	3	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-irengtas-individualus-224-m-namas-su/2-216835	file:///C:/Users/Dovile/Desktop/Namai/148.htm
459000	Vilnius	Filaretai	2	1		9	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	145	6	8	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-2-aukstu-gyvenamasis-145-kvm-namas/2-246519	file:///C:/Users/Dovile/Desktop/Namai/149.htm
799000	Vilnius	Zujunai	3	2		5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	242	8	11	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-24234-kvm-individualus-namas-anteze/2-247026	file:///C:/Users/Dovile/Desktop/Namai/150.htm
517000	Vilnius	Zujunai	3	2		5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	233	20	11	1990	http://www.aruodas.lt/namas/vilniuje/gerai-pasiekiamoje-vietoje-individualiu-namu-gyve/2-245603	file:///C:/Users/Dovile/Desktop/Namai/151.htm
440000	Vilnius	Kalnenai	2	1		5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	182	5	6	2011	http://www.aruodas.lt/namas/vilniuje/dvieju-aukstu-namas-1-8-2-kvm-5-kambariai/2-246858	file:///C:/Users/Dovile/Desktop/Namai/152.htm


1110000	Vilniaus raj.	Didieji Gulbinai				5	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Blokinis	182	11	14	2006	http://www.skelbiu.lt/skelbimai/didieji-gulbinai-181-kv-m-1-1-1-didieji-gulbinai-11245309.html	file:///C:/Users/Dovile/Desktop/Namai/didieji-gulbinai-181-kv-m-1-1-1-didieji-gulbinai-11245309.html
682000	Vilniaus raj.	Verkscionys				4	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Blokinis	133	11	35	2007	http://www.skelbiu.lt/skelbimai/parduodamas-puikiai-irengtas-parduodamas-puikiai-12389098.html	file:///C:/Users/Dovile/Desktop/Namai/parduodamas-puikiai-irengtas-parduodamas-puikiai-12389098.html
799000	Vilniaus raj.	Didzioji Riese				5	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Murinis	273	9	12	2006	http://www.skelbiu.lt/skelbimai/telefono-linija-internetas-telefono-linija-12385895.html	file:///C:/Users/Dovile/Desktop/Namai/telefono-linija-internetas-telefono-linija-12385895.html
499000	Vilniaus raj.	Karvis				5	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Murinis	254	15	30	2010	http://www.skelbiu.lt/skelbimai/parduodamas-2010-m-statybos-2-parduodamas-2010-m-12377186.html	file:///C:/Users/Dovile/Desktop/Namai/3.html
450000	Vilniaus raj.	Verkscionys				5	Kotedzas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Blokinis	138	15	35	2008	http://www.skelbiu.lt/skelbimai/parduodamas-138-kv-m-per-garaza-parduodamas-138-12357176.html	file:///C:/Users/Dovile/Desktop/Namai/8.html
620000	Vilniaus raj.	Lazdyneliai				3	Kotedzas		Nereikia		3	Árengtas	Nenauja	Murinis	Murinis	182	7	7	1999	http://www.skelbiu.lt/skelbimai/parduodamas-kotedzas-lazdyneliuose-parduodamas-12263522.html	file:///C:/Users/Dovile/Desktop/Namai/17.html
360000	Vilniaus raj.	Bandoreliai				5	Namas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Blokinis	120	6	4	2011	http://www.skelbiu.lt/skelbimai/namas-vilniuje-370-000-lt-bendoreliai-7388598.html	file:///C:/Users/Dovile/Desktop/Namai/19.html
390000	Vilniaus raj.	Didzioji Riese				4	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Blokinis	162	6	15	2008	http://www.skelbiu.lt/skelbimai/parduodamas-namas-parduodamas-namas-rieses-sen-12341322.html	file:///C:/Users/Dovile/Desktop/Namai/32.html
698000	Vilniaus raj.	Suderve				5	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Murinis	261	12	20	2008	http://www.skelbiu.lt/skelbimai/parduodamas-261-kv-m-namas-parduodamas-261-kv-m-12255421.html	file:///C:/Users/Dovile/Desktop/Namai/34.html
459000	Vilniaus raj.	Didzioji Riese				4	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Blokinis	166	7	18	2011	http://www.skelbiu.lt/skelbimai/parduodamas-naujas-jaukus-parduodamas-naujas-12206363.html	file:///C:/Users/Dovile/Desktop/Namai/39.html
349000	Vilniaus raj.	Pranciskonys				4	Namas		Nereikia		3	Árengtas	Nenauja	Murinis	Blokinis	210	13	24	1998	http://www.skelbiu.lt/skelbimai/skubiai-parduodamas-tvarkingas-ir-skubiai-12399285.html	file:///C:/Users/Dovile/Desktop/Namai/69.html
410000	Vilniaus raj.	Izabeline				5	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Blokinis	195	10	19	2010	http://www.skelbiu.lt/skelbimai/parduodamas-sublokuotas-namas-parduodamas-12329260.html	file:///C:/Users/Dovile/Desktop/Namai/40.html
580000	Vilniaus raj.	Riese				6	Namas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Murinis	220	7	13	2010	http://www.skelbiu.lt/skelbimai/parduodu-nama-rieseje-sienos-paruostos-10795703.html	file:///C:/Users/Dovile/Desktop/Namai/56.html
299000	Vilniaus raj.	Rudaminos				5	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Murinis	211	11	13	2007	http://www.skelbiu.lt/skelbimai/parduodamas-isskirtinis-211-19-m2-parduodamas-12388066.html	file:///C:/Users/Dovile/Desktop/Namai/70.html
999000	Vilniaus raj.	Galgiai				5	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Blokinis	214	10	13	2007	http://www.skelbiu.lt/skelbimai/pasiulymas-vertinantiems-ypatinga-pasiulymas-12378062.html	file:///C:/Users/Dovile/Desktop/Namai/71.html
380000	Vilniaus raj.	Skaidiskes				6	Namas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Murinis	195	6	14	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-naujos-statybos-individualus-namas-su/2-242650	file:///C:/Users/Dovile/Desktop/Namai/72.htm
260000	Vilniaus raj.	Skaidiskes				3	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Blokinis	185	9	13	2011	http://www.skelbiu.lt/skelbimai/parduodamas-naujos-statybos-namas-parduodamas-12189002.html	file:///C:/Users/Dovile/Desktop/Namai/61.html
370000	Vilniaus raj.	Skaidiskes				6	Namas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Blokinis	230	10	13	2008	http://www.skelbiu.lt/skelbimai/namas-vilniaus-priemiestis-skaidiskes-4765034.html	file:///C:/Users/Dovile/Desktop/Namai/61.html
490000	Vilniaus raj.	Skaidiskes				4	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Blokinis	200	10	13	2008	http://www.skelbiu.lt/skelbimai/namas-vilniaus-priemiestis-skaidiskes-8222279.html	file:///C:/Users/Dovile/Desktop/Namai/63.html
748000	Vilniaus raj.	Kleivine				5	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Blokinis	200	10	14	2004	http://www.aruodas.lt/namas/vilniuje/vilniaus-rajoneukmerges-linkklevineje-senasis/2-237593	file:///C:/Users/Dovile/Desktop/Namai/74.htm
1100000	Vilniaus raj.	Didzioji Riese				5	Namas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Murinis	187	9	17	2011	http://www.aruodas.lt/namas/vilniuje/namas-suprojektuotas-ir-pastatytas-vadovaujantis/2-235030	file:///C:/Users/Dovile/Desktop/Namai/76.htm
749000	Vilniaus raj.	Bendoriai				4	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Murinis	182	5	14	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-modernus-182-m2-namas-su-3-miegamaisia/2-241176	file:///C:/Users/Dovile/Desktop/Namai/79.htm
499000	Vilniaus raj.	Avizienai				5	Kotedzas		Reikia		1	Dalinai árengtas	Nauja	Murinis	Blokinis	140	7,5	13	2011	http://www.skelbiu.lt/skelbimai/ieskome-kaimynu-sublokuoti-namai-ieskome-kaimynu-10982582.html	file:///C:/Users/Dovile/Desktop/Namai/91.html
199000	Vilniaus raj.	Migunai				4	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Murinis	199	12	23	2009	http://www.skelbiu.lt/skelbimai/parduodamas-naujas-4-kambariu-namas-naujas-4-k-12493033.html	file:///C:/Users/Dovile/Desktop/Namai/92.html
269000	Vilniaus raj.	Veriskes				5	Namas		Reikia		2	Árengtas	Nenauja	Murinis	Murinis	202	18	30	1989	http://www.skelbiu.lt/skelbimai/parduodamas-keiciamas-i-buta-parduodamas-12171567.html	file:///C:/Users/Dovile/Desktop/Namai/93.html
599000	Vilniaus raj.	Suderve				4	Namas		Nereikia		3	Árengtas	Nauja	Murinis	Murinis	218	8	18	2011	http://www.skelbiu.lt/skelbimai/namo-aprasymas-adresas-namo-aprasymas-adresas-12387992.html	file:///C:/Users/Dovile/Desktop/Namai/96.html
485000	Vilniaus raj.	Mazoji Riese				5	Kotedzas		Reikia		1	Neárengtas	Nauja	Murinis	Blokinis	179	6	15	2011	http://www.aruodas.lt/namas/vilniuje/5-k-179-kvm-blokuotas-per-garazus-dvibucio-nama/2-240405	file:///C:/Users/Dovile/Desktop/Namai/104.htm
700000	Vilniaus raj.	Avizienai				5	Namas		Reikia		1	Neárengtas	Nauja	Murinis	Blokinis	220	10	13	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-22-kvm-dvieju-aukstu-naujos-statybo/2-245855	file:///C:/Users/Dovile/Desktop/Namai/125.htm
290000	Vilniaus raj.	Skaidiskes				5	Namas		Reikia		1	Neárengtas	Nauja	Nemurinis	Medinis	220	20	14	2006	http://www.aruodas.lt/namas/vilniuje/pastatas-rastinis-26-m-statybos-dviej/2-245820	file:///C:/Users/Dovile/Desktop/Namai/127.htm
