Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
265000;Vilnius;Þemieji Paneriai;3;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;165;1;9;2009;http://www.skelbiu.lt/skelbimai/parduodamas-naujas-irengtas-parduodamas-naujas-12353122.html;file:///C:/Users/Dovile/Desktop/Namai/66.html
748000;Vilnius;Kleivinë;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;200;10;14;2004;http://www.aruodas.lt/namas/vilniuje/vilniaus-rajoneukmerges-linkklevineje-senasis/2-237593;file:///C:/Users/Dovile/Desktop/Namai/74.htm
530000;Vilnius;Tarandë;3;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;170;7,5;13;2006;http://www.aruodas.lt/namas/vilniuje/parduodama-puse-namoantras-aukstas-atskiri-ieji/2-241405;file:///C:/Users/Dovile/Desktop/Namai/75.htm
1100000;Vilnius;Didþioji Rieðë;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;187;9;17;2011;http://www.aruodas.lt/namas/vilniuje/namas-suprojektuotas-ir-pastatytas-vadovaujantis/2-235030;file:///C:/Users/Dovile/Desktop/Namai/76.htm
550000;Vilnius;Pagiriai;5;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;300;30;16;1995;http://www.aruodas.lt/namas/vilniuje/parduodamas-jaukus-namas-pagiriuose-3-kvm-s/2-239897;file:///C:/Users/Dovile/Desktop/Namai/77.htm
425000;Vilnius;Balsiai;6;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;151;2;13;2011;http://www.aruodas.lt/namas/vilniuje/2-242300;file:///C:/Users/Dovile/Desktop/Namai/78.htm
749000;Vilnius;Bendoriai;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;182;5;14;2007;http://www.aruodas.lt/namas/vilniuje/parduodamas-modernus-182-m2-namas-su-3-miegamaisia/2-241176;file:///C:/Users/Dovile/Desktop/Namai/79.htm
300000;Vilnius;Bajorai;5;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;160;8;12;1980;http://www.aruodas.lt/namas/vilniuje/parduodamas-namas-bajoruose-16-kvm-sklypo-plo/2-235152;file:///C:/Users/Dovile/Desktop/Namai/80.htm
700000;Vilnius;Balsiai;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;120;6;13;2009;http://www.aruodas.lt/namas/vilniuje/namas-randasi-bireliuose-name-irengtas-geotermini/2-241118;file:///C:/Users/Dovile/Desktop/Namai/81.htm
1050000;Vilnius;Þvërynas;4;Kotedþas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;104;3;4;1963;http://www.skelbiu.lt/skelbimai/parduodamas-kotedzas-namo-dalis-parduodamas-12352775.html;file:///C:/Users/Dovile/Desktop/Namai/41.html
629000;Vilnius;Naujoji Vilnia;6;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;250;13;10;2007;http://www.aruodas.lt/namas/vilniuje/parduodamas-puikus-namas-naujojoje-vilnioje-vide/2-217758;file:///C:/Users/Dovile/Desktop/Namai/83.htm
315000;Vilnius;Naujoji Vilnia;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;162;6;10;2008;http://www.aruodas.lt/namas/vilniuje/is-fibo-bloku-gelzbetonines-pertvarosplastikinia/2-120308;file:///C:/Users/Dovile/Desktop/Namai/82.htm
680000;Vilnius;Grigiðkës;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;137;5;16;2005;http://www.aruodas.lt/namas/vilniuje/parduodamas-25m-statybos-gyvenamasis-namas-pi/2-243387;file:///C:/Users/Dovile/Desktop/Namai/84.htm
725000;Vilnius;Dvarèionys;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;217;8;10;2007;http://www.aruodas.lt/namas/vilniuje/-parduodamas-jaukus-naujos-statybos-kokybiskomi/2-243338;file:///C:/Users/Dovile/Desktop/Namai/85.htm
899999;Vilnius;Kalnënai;5;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;263;10;6;2011;http://www.aruodas.lt/namas/vilniuje/apie-nama-parduodamas-erdvus-ir-siuolaikiskas-2-6/2-243185;file:///C:/Users/Dovile/Desktop/Namai/86.htm
720000;Vilnius;Kalnënai;6;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;214;6;6;2010;http://www.aruodas.lt/namas/vilniuje/pilna-daline-apdaila-214-kvm-namas-atskira-val/2-243149;file:///C:/Users/Dovile/Desktop/Namai/87.htm
