Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
450000;Vilniaus raj.;Verkðèioniø k;5;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;138;15;35;2008;http://www.skelbiu.lt/skelbimai/parduodamas-138-kv-m-per-garaza-parduodamas-138-12357176.html;file:///C:/Users/Dovile/Desktop/Namai/8.html
579000;Vilnius;Þemieji Paneriai;6;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;199;3;5;2010;http://www.skelbiu.lt/skelbimai/siam-objektui-taikomos-spec-siam-objektui-12357156.html;file:///C:/Users/Dovile/Desktop/Namai/9.html
589000;Vilnius;Antakalnis;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;183;6;10;2007;http://www.skelbiu.lt/skelbimai/nama-galima-apziureti-is-anksto-nama-galima-12357149.html;file:///C:/Users/Dovile/Desktop/Namai/10.html
399000;Vilnius;Antakalnis;5;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;139;9;14;1991;http://www.skelbiu.lt/skelbimai/siam-objektui-taikomos-palankios-siam-objektui-12357140.html;file:///C:/Users/Dovile/Desktop/Namai/11.html
420000;Vilnius;Pavilnys;5;Namas;Reikia;Árengtas;Nauja;Nemûrinis;Ràstinis;180;14;10;2004;http://www.skelbiu.lt/skelbimai/adresas-vilnius-adresas-vilnius-sebastijoniskiu-g-12357138.html;file:///C:/Users/Dovile/Desktop/Namai/12.html
450000;Vilnius;Pavilnys;5;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;250;68;12;1995;http://www.skelbiu.lt/skelbimai/parduodamas-250-kv-m-murinis-parduodamas-250-kv-m-12329675.html;file:///C:/Users/Dovile/Desktop/Namai/14.html
660000;Vilnius;Grigiðkës;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;176;8;16;2011;http://www.skelbiu.lt/skelbimai/parduodamas-naujos-parduodamas-naujos-statybos-12342503.html;file:///C:/Users/Dovile/Desktop/Namai/15.html
2000000;Vilnius;Þvërynas;6;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;233;3;3;2008;http://www.skelbiu.lt/skelbimai/kotedzas-ziemgaliu-bebru-g-kotedzas-ziemgaliu-12291931.html;file:///C:/Users/Dovile/Desktop/Namai/16.html
620000;Vilnius;Lazdynëliai;3;Kotedþas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;182;7;7;1999;http://www.skelbiu.lt/skelbimai/parduodamas-kotedzas-lazdyneliuose-parduodamas-12263522.html;file:///C:/Users/Dovile/Desktop/Namai/17.html
620000;Vilnius;Bajorai;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;185;6;11;2007;http://www.skelbiu.lt/skelbimai/parduodamas-puikus-namas-vilniaus-parduodamas-12242819.html;file:///C:/Users/Dovile/Desktop/Namai/18.html
