Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
1	2	6	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	151	2	13	2011
1	2	5	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	160	8	12	1980
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	120	6	13	2009
3	4	4	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	104	3	4	1963
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	250	13	10	2007
1	2	5	Namas	3	Reikia	1	1	Dalinai irengtas	Nauja	Murinis	Blokinis	162	6	10	2008
2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	137	5	16	2005
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	8	10	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	263	10	6	2011
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	214	6	6	2010
1	2	2	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	383	12	10	2011
1	2	4	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	153	3	13	2011
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	250	4	4	2009
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	205	6	8	2008
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	240	7	10	2009
1	2	5	Kotedşas	3	Reikia	0	3	Irengtas	Nauja	Murinis	Murinis	143	6	12	2008
3	4	7	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	587	9	2	2000
1	2	6	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	216	11	5	2008
1	1	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	150	6	5	1940
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	143	6	13	2003
2	3	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Blokinis	363	7	3	2006
1	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	147	1	10	2004
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	160	6	13	2010
1	2	5	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	210	4	5	2011
1	2	3	Namas	3	Reikia	1	1	Dalinai irengtas	Nauja	Murinis	Murinis	125	6	7	2011
1	2	3	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	56	6	14	1986
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	88	15	7	2010
3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	209	3	2	2001
1	2	4	Namas	3	Reikia	1	3	Irengtas	Nauja	Murinis	Murinis	150	12	13	2009
1	2	4	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	128	6	14	2011
2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	270	10	11	2009
1	2	4	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Blokinis	120	3	10	2011
3	4	5	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	110	6	3	1940
3	4	6	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	295	5	2	2004
1	2	8	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	319	6	8	2009
1	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	6	12	2008
2	3	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	180	5	8	2010
1	2	5	Namas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	280	12	11	2005
2	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	160	8	11	2008
1	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	140	3	7	2010
2	3	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	162	6	8	2001
2	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	241	21	16	2010
2	3	6	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	333	2	8	1996
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	286	10	15	2009
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	270	20	15	2007
1	3	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	177	6	10	2008
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	230	15	15	2010
1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	188	6	7	2007
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	168	8	14	2011
2	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	277	4	8	2009
1	1	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	170	6	9	2010
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	200	7	12	2011
1	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	270	8	10	2007
2	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	177	6	7	2008
2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	204	3	6	1992
2	2	4	Kotedzas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	20	4	6	2000
1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	250	11	10	1997
1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	205	9	10	1992
2	3	3	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	54	2	3	1940
2	3	2	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	29	2	3	1940
1	2	8	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	260	6	5	2000
1	1	1	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	30	2	5	1933
1	1	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	300	30	18	1995
1	1	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	15	18	2010
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	143	4	6	2010
2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	294	7	3	2008
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	242	8	11	2009
2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	233	20	11	1990
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	182	5	6	2011
1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	390	9	12	1992
1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	90	8	12	2008
1	2	5	Namas	3	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	220	10	8	2009
1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	188	6	12	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	10	13	2010
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	116	4	13	2011
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	240	15	13	2011
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	166	8	13	2011
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	148	9	13	2011
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	300	19	14	2009
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	168	8	14	2011
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	10	14	2011
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	147	9	14	2011
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	128	6	13	2011
1	2	4	Namas	2	Reikia	0	2	Irengtas	Nenauja	Murinis	Blokinis	97	7	13	1979
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	286	10	15	2009
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	11	13	2010
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	19	15	2009
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	216	19	14	2006
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	148	6	15	2009
1	2	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	480	7	8	1996
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	205	7	5	2010
1	2	9	Namas	4	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	438	11	11	1996
1	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	260	7	10	2009
1	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	208	6	11	2008
1	2	5	Namas	3	Nereikia	0	1	Neirengtas	Nauja	Murinis	Murinis	200	9	15	2009
1	2	5	Namas	4	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	295	5	11	2008
1	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	138	6	11	2007
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	6	11	2008
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	178	10	11	2007
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	202	13	15	2007
1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	200	8	10	2008
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	215	6	11	2007
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	217	6	11	2008
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	240	7	5	2010
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	184	6	11	2008
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	170	9	8	2004
1	2	4	Kotedzas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	172	3	10	2009
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	285	5	11	2008
1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	259	11	11	1997
1	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	216	6	11	2008
1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	160	8	10	1980
1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	162	6	11	2001
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	200	6	11	2006
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	207	15	11	2010
1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	97	6	10	2004
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	208	6	11	2008
1	2	6	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	186	8	20	2008
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	193	12	17	2008
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	233	7	16	2008
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	183	7	16	2009
1	2	3	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	200	10	14	1997
1	2	7	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	349	10	15	2001
1	2	6	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	240	7	14	1995
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	210	5	15	2010
1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	433	10	15	1992
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	262	10	14	2009
3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	257	7	2	2007
3	4	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	185	1	2	1996
3	4	3	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	130	1	2	1980
3	4	5	Kotedzas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	215	3	2	1600
3	4	7	Kotedzas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	250	2	2	1899
3	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	168	2	2	2004
3	4	10	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	411	3	3	2007
3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	144	2	2	2003
3	4	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	113	0	2	1940
3	4	4	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	120	1	2	1980
2	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	195	12	7	2006
2	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	277	4	9	2009
2	2	3	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	88	4	9	2011
2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	334	10	9	1994
2	2	4	Namas	3	Reikia	0	2	Neirengtas	Nauja	Nemurinis	Medinis	125	6	10	2010
2	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	222	1	9	2002
2	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	67	7	11	1970
2	2	5	Namas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Murinis	220	7	10	2009
2	2	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	224	13	10	1996
2	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	200	12	10	2008
2	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	210	8	11	2008
2	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	274	7	11	1996
2	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	58	6	11	1986
2	2	5	Namas	3	Reikia	0	2	Neirengtas	Nauja	Murinis	Murinis	265	12	11	2009
