Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	182	12	8	2007
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	7	8	2008
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	190	5	8	2009
1	2	4	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	142	3	8	1997
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	160	10	8	2007
1	2	6	Kotedzas	4	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	338	8	8	1998
1	2	4	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	133	2	8	1995
1	2	5	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	200	11	6	2009
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	220	9	7	2010
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	117	3	6	2011
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	124	7	6	2008
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	325	11	6	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	225	12	6	2008
1	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	135	6	5	2009
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	254	3	6	2010
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	165	4	6	2010
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	225	13	6	2008
1	1	3	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	88	9	11	1940
1	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	168	8	12	2011
1	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	168	8	7	2010
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	189	3	9	2009
1	2	3	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	116	7	7	2008
1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	170	6	8	2010
1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	140	4	7	2010
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	296	13	8	2011
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	179	5	9	2008
1	2	3	Kotedzas	4	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	70	9	7	1940
1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	106	6	7	2008
1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	186	6	8	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	205	7	7	2011
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	180	10	13	2011
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	230	11	7	2008
1	2	6	Namas	4	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	220	9	7	2008
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	146	4	16	2011
2	2	4	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	100	7	16	1991
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	206	8	16	2011
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	200	6	16	2010
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	294	9	16	2009
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	203	8	16	2006
2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	152	14	16	1980
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	210	7	17	2010
2	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	105	6	17	2005
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	253	12	15	2008
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	300	20	16	2006
1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	164	6	10	2007
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	253	8	10	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	179	9	12	2009
1	2	2	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	77	6	11	1996
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	160	4	11	2011
1	2	3	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	121	6	11	1999
1	2	3	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	81	8	11	1940
1	2	4	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	167	7	10	2011
1	2	3	Namas	3	Reikia	1	2	Dalinai irengtas	Nauja	Murinis	Murinis	120	6	10	2011
1	2	4	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	107	7	10	1980
1	2	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	119	7	10	1940
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	190	6	12	2008
1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	184	7	12	2008
1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	420	6	10	1996
1	2	8	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	309	2	10	1993
1	2	5	Namas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Murinis	173	6	10	2007
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	250	13	10	2006
1	1	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Nemurinis	Medinis	243	16	16	2009
1	1	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	311	10	16	1994
1	1	3	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	74	7	16	2011
1	1	7	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	183	7	16	2010
1	1	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	247	12	16	2008
1	1	2	Namas	3	Reikia	1	2	Dalinai irengtas	Nauja	Nemurinis	Medinis	80	6	16	2010
1	1	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	227	16	16	2011
1	1	2	Namas	3	Reikia	1	2	Dalinai irengtas	Nauja	Murinis	Murinis	48	7	16	2011
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	189	8	10	2008
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	265	7	10	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	189	7	10	2011
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	237	13	10	2011
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	18	12	2008
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	8	11	2008
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	264	15	12	2004
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	245	9	12	2008
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	210	18	12	2008
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	188	7	11	2007
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	208	7	11	2001
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	300	8	11	2009
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	273	15	11	2000
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	189	6	7	2011
1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	90	2	8	2010
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	198	3	8	2008
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	220	7	8	2006
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	243	6	8	2008
1	2	5	Kotedzas	3	Reikia	1	2	Irengtas	Nauja	Murinis	Blokinis	233	6	13	2008
1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	92	11	13	2004
1	2	5	Namas	3	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	130	6	13	1992
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	134	10	13	2007
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	161	9	13	2003
1	2	4	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	140	10	13	1980
1	2	6	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	213	9	13	2005
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	220	9	13	2008
1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	158	40	13	2007
1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	107	6	13	2008
3	4	3	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	126	11	3	2009
3	4	4	Kotedzas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	210	4	3	2006
3	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	244	4	3	2002
3	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	200	4	3	2007
1	2	5	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	194	3	5	2009
2	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	222	1	8	2002
2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	170	8	8	2004
2	3	8	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	453	5	8	1994
2	3	6	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	210	5	8	2008
2	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	166	2	8	2002
2	3	8	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	250	7	8	2005
2	3	6	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	260	12	8	2007
2	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	130	4	8	2009
2	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	5	8	2011
2	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	206	3	8	2003
2	3	6	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	220	2	8	1996
2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	172	6	8	2004
2	3	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	180	6	8	1996
2	3	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	112	3	3	1940
2	3	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	176	2	3	1940
2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	224	7	3	2008
1	3	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	204	2	10	2011
1	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	170	8	10	2004
1	3	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	170	6	10	2007
1	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	298	11	10	2003
1	3	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	226	6	10	2008
1	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	149	2	10	2004
1	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	150	5	10	2010
1	3	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	190	7	10	2008
1	3	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	203	1	10	2011
1	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	290	11	10	2003
1	3	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	262	9	10	2007
1	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	150	2	10	2005
1	3	8	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	320	6	10	2000
1	3	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	145	4	10	2009
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	159	15	11	2011
2	2	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	243	12	11	1994
2	2	7	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	274	20	11	2010
2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	285	12	11	2009
2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nauja	Nemurinis	Medinis	190	17	11	2008
2	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	134	8	11	2011
2	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	220	9	11	2011
2	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	170	7	11	2007
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	187	8	17	2008
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	220	16	16	2007
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	477	15	16	2001
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	185	8	15	2010
1	2	2	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	80	6	16	1995
1	2	8	Namas	3	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	430	8	16	2000
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	132	8	16	2011
1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	304	14	15	2009
1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	286	10	15	2009
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	165	7	15	2009
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	152	8	15	2009
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	165	6	16	2011
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	11	15	2010
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	264	14	15	2009
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	165	6	16	2010
3	4	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	210	2	3	2001
3	4	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nenauja	Murinis	Murinis	190	3	3	2010
3	4	5	Namas	1	Reikia	0	1	Neirengtas	Nenauja	Murinis	Murinis	155	7	2	1961
3	4	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	161	2	3	2008
3	4	8	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	374	7	3	2005
3	4	3	Namas	1	Reikia	0	1	Neirengtas	Nenauja	Murinis	Murinis	85	6	4	1959
3	4	5	Namas	3	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	228	9	3	2002
3	4	3	Kotedzas	2	Reikia	0	3	Irengtas	Nenauja	Murinis	Murinis	100	3	3	1963
3	4	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	162	2	2	2008
3	4	6	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	233	3	2	2008
3	4	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	354	4	2	2009
3	4	8	Namas	5	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	340	12	3	2004
